Timestamp,What is your username? (no @),What is your DV ID? (no @),Would you like to be a backup Santa?,Would you like to apply to be an artist helper?,"I certify that I have been cleared for official registration by filling out an approved preregistration form, and that my name appears on the list of approved names on the front page.",Is there anyone you are not comfortable with being matched up with?,Mark prompts that you would MOST like to draw.,"Mark prompts that you are okay with drawing, but aren't your first choice.","Mark which prompts you DO NOT want to draw. If you are okay with drawing all of the prompts listed, you may skip this question.","Since we can't fit every single type of prompt into the previous questions, you can let us know any additional information about what you do or do not want to draw.",Mark which prompt(s) apply to your first custom design request!,"Describe your first custom request in more detail, including the pet, whether it is evo/non-evo, and reference images if necessary.",Mark which prompt(s) apply to your second custom design request!,"Describe your second custom request in more detail, including the pet, whether it is evo/non-evo, and reference images if necessary.",Anything else you would like us (the event helpers) to know?,"After the accessory I make is approved, I understand I must fill out a submission form and will transfer ownership to Nature #5192. She will then hold onto it until it is ready to transfer to the intended recipient.","While working on my accessory, I will keep the identity of my recipient secret and will not publicly share any WIPs, sneak peeks, or the completed design until Dec 25th (Christmas Day). If I need assistance with my accessory, I will privately contact one of the Artist Helpers. If I need to ask a clarifying question to my recipient, I will contact Nature #5192 to relay the message for me indirectly.",I am expected to deliver a completed accessory by the deadline of Dec 20. Failure to do so will result in multiple penalties including: a ban from participating in any future AAA-sponsored events and removal from the AAA guild/server as applicable. I also will not receive my gifted accessory if I fail to deliver my part.,"I understand I may use the accessory gifted to me for personal use or give out free uses, but I may NOT sell uses commercially. I also understand that the accessory I gift may also be used for personal use/free use grants.","Provide any secondary contact information here (such as discord account, FR account, Twitter, etc.)"
11/16/2020 9:44:56,LeafeonWarrior,19043,No,No,I agree.,,"Clothing, Cute/Pastel, Food/Objects, Floral/Nature, Plushie/Fake Companion","Body Markings/Patterns, Hair/Wigs, Jewelry/Filigree, Metal/Armor, Repose, Ribbons/Silk, Spooky/Horror",Background,"I really enjoy drawing food, I am bad at drawing wings or very delicate things like haloes, please do not match me with someone who requests an angelic accessory. I am not good at drawing transparency aka glass/water/windows. I consider myself quite decent at drawing butterfly/moth wings or bones.","Food/Objects, Floral/Nature, Repose","Sunflowers and sunflower seeds surrounding a golden flower faun OR a sunstone goat, please only do an un-evolved version, as I will not be evolving the pet. If choosing the golden flower faun I would like at least one sunflower with its stem in the vase, or a sunflower tucked behind an ear or held in the hands. Sunflower seeds sprinkled on the ground and if you are really comfortable with reposes then can it have its tongue sticking out with a sunflower seed on it? Thank you.",Floral/Nature,"Draw any flower/s for any pet, with exclusion of the limited pets(please i won't be able to get a valkyrie or obsidian dragon like ever, I would prefer those type of pets be avoided). The flower can be interacting with the pet, a floral print on a shirt/dress/blanket, or in a background. Just any flower at all anywhere. My favorite flowers are sunflowers, japanese poppies, spider chrysanthemums, black-eyed susans, red spider lilies, dahlia, yellow flame zinnias, peonies, and yellow evening primrose. You do not have to draw any of the flowers listed above, any flower for any pet is fine, but those are flowers I most enjoy. Thank you.",Thank you for hosting this event! I appreciate y'all,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,my flightrising account is LeafeonWarrior #261826
11/16/2020 9:55:55,heli,17512,Yes,Yes,I agree.,,"Cute/Pastel, Jewelry/Filigree, Metal/Armor, Ribbons/Silk","Body Markings/Patterns, Clothing, Food/Objects, Floral/Nature, Plushie/Fake Companion, Repose, Spooky/Horror","Background, Hair/Wigs","Not too great at backgrounds but can do simple ones :) 
Not too many other specifications, but please nothing trypophobic (i.e. lotus flowers). Thank you!","Background, Body Markings/Patterns, Clothing, Floral/Nature, Jewelry/Filigree, Repose, Ribbons/Silk","Pet: Luminous Seashark
Evo/Non-evo: Non-evo
Description: Basically up to you :) Below I have attached some inspo pics that I find pretty but tbh do whatever haha 
The prompts I selected DO NOT have to be all met, they are just things I like!

Refs: 
https://i.imgur.com/y6ZFzxj.jpg
https://i.imgur.com/xIeu0zz.jpg
https://i.imgur.com/O799URi.jpg",Floral/Nature,"Pet: Astronomouse
Evo/Non-evo: Either, doesn't matter!
Description: Flowers (you can choose what type, but I like white flowers!) floating/swirling around pet, wispy winds / smoke swirling around as well :) (smoke/wind is optional but yes flowers!)

Refs: N/A",Let me know if these requests are too difficult/specific/etc.^^,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,Already in the AAA server :D
11/16/2020 9:59:19,Snowy,357,No,No,I agree.,,"Clothing, Cute/Pastel, Food/Objects","Body Markings/Patterns, Plushie/Fake Companion","Floral/Nature, Hair/Wigs, Jewelry/Filigree, Metal/Armor, Ribbons/Silk, Spooky/Horror",,Plushie/Fake Companion,SPIRIT OF KINDNESS with a fish plushie,,,,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,TimelordSnowy/Zero#8531 and Im in the AAA server
11/16/2020 10:45:08,SilverSeravilo,24119,Yes,No,I agree.,,"Body Markings/Patterns, Clothing, Floral/Nature, Hair/Wigs, Plushie/Fake Companion, Repose","Cute/Pastel, Food/Objects, Jewelry/Filigree, Ribbons/Silk, Spooky/Horror",,I'd say I'm pretty ok with most things but I'm not super good with more geometrical and structural stuff,"Clothing, Food/Objects, Repose","Quickened turnipling boy (unevolved)
Maybe a pocket watch and fancy clothes (like an elegant coat or vest) somewhat gothic maybe? 
Optional: fancy hat 

I guess as a sidenote for possible inspo? 
My favorite colors are blue (particularly navy), green, and yellow (also black white and grey)
I love moon and star themed stuff (galactic is a fitting choice lol)
Love plants","Background, Body Markings/Patterns, Floral/Nature, Hair/Wigs, Repose, Ribbons/Silk","A wind themed acc for my emerald dragonlet could be nice
(the stuff I marked doesn't neccessarily have to all be there it's just some stuff that could maybe be nice, sorry it's so vague lmao I realized I didn't know what I wanted when I started this)
Giving him long hair sounds interesting if there's a way to make it look not weird lol
Unevolved",I'm just hoping my vagueness is not too messy hgfshd,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,on the server 
11/16/2020 11:30:45,Elaryi,23034,No,Yes,I agree.,,"Clothing, Floral/Nature, Hair/Wigs, Jewelry/Filigree, Metal/Armor, Plushie/Fake Companion, Ribbons/Silk, Spooky/Horror","Background, Body Markings/Patterns, Cute/Pastel, Food/Objects, Repose",,,"Clothing, Plushie/Fake Companion","
Anything based off of this character! https://toyhou.se/7598338.tiazelim You could do a plushie, her clothing or just something with the steampunk vibes, go wild with it! I think a Bellfox would suit her best but if you think of another pet that'd be good go with it! ","Clothing, Floral/Nature, Metal/Armor, Ribbons/Silk, Spooky/Horror",A mixture of autumn themed clothing or armour would be nice! Feel free to make it spooky or include an eye motif. I don't have a preference for a pet so pick something within reason!,,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,Elaryi#1766
11/16/2020 11:53:00,diabo,24764,No,No,I agree.,,"Clothing, Hair/Wigs, Repose","Body Markings/Patterns, Cute/Pastel, Jewelry/Filigree, Plushie/Fake Companion, Ribbons/Silk, Spooky/Horror","Background, Food/Objects, Floral/Nature, Metal/Armor","i'd prefer not to draw angel/bird wings if possoble, also i do make objects, just not food.","Clothing, Hair/Wigs, Repose, Spooky/Horror","i'd love if my santa made a gothic/y2k clothing inspired accessory for the spiral imp, they can choose w/e version ^^ repose would be cute but it's not neccessary! also a cute plushie somewhere around her if you want B) some references: https://www.pinterest.pt/pin/162340761557263530/
https://www.pinterest.pt/pin/162340761557462143/
https://www.pinterest.pt/pin/162340761557484320/
https://www.pinterest.pt/pin/162340761557610108/","Cute/Pastel, Floral/Nature",make something cute with leaves and flowers if u must for the swamp hound pet <3,i dont think so..,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,"discord, im in the aaa server."
11/16/2020 12:13:12,Tegu,35739,Yes,No,I agree.,,"Background, Food/Objects, Floral/Nature, Jewelry/Filigree","Clothing, Hair/Wigs, Repose","Metal/Armor, Spooky/Horror",,"Background, Clothing, Food/Objects, Floral/Nature","I'd love a Spiral Imp accessory, non-evo preferred. Anything with mushrooms and toadstools would be great, whether they're part of a background, an outfit pattern, or little props! I don't have anything more specific than that in mind, so feel free to do whatever you're inspired to!","Clothing, Floral/Nature, Jewelry/Filigree, Ribbons/Silk","As a second option, I'd like to request a Golden Flower Faun accessory, evo version preferred. I'd love some sort of light blue decoration all over, whether it be jewelry, ribbon, silks, flower wreathes, etc. Other than that, this request is pretty non-specific, just some light blue pizazz, whatever that means to you! ",Thank you so much for setting this all up! I look forward to having a great time making accessories. =D,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,Discord: Darcy#1492 FR: Uromastyx
11/17/2020 23:30:24,Thalies,23071,No,Yes,I agree.,,"Clothing, Floral/Nature, Jewelry/Filigree, Repose, Ribbons/Silk","Background, Hair/Wigs, Plushie/Fake Companion",Spooky/Horror,"i like extending/changing already existing hair, not so much wigs. 

for reposes, i'd rather not do something major like turning the angle of the head

just a sort of preference, but i like drawing accessories with matching palettes to the pet. mostly so i can pick colors :burnip:

i don't really want to draw accs that are references to characters or the like","Background, Floral/Nature, Jewelry/Filigree, Repose","non-evo gilded seashark. kind of golden aquarium theme.

shiny things are good. give them jewelry and filigree, however you want. maybe kelp themed if you want. also some golden kelp adornments (jewelry or real sea leaves or both, up to you).

don't overwhelm them though.

a background would be lovely! something like the golden aquarium background.  golden kelp would be cool, as would be some little golden fish silhouettes.

please keep the palette to the seashark palette. so the gold jewelry and kelp should be similar to the yellow on the seashark, and the blue water should be similar to the blue and green on the pet. doesn't have to be exact, but it should match but still be recognizable as the aquarium set. as accent colors (small fish, kelp, etc., just little details) , it's fine to use the reds in the aquarium set and the brighter blues in the seashark's eyes and jewels.

optional: throw in a repose. especially if it's more convenient (i know the seashark pose is Fun to accessorize). however you want to do it is up to you.

Reference:
https://dappervolk.fandom.com/wiki/Golden_Aquarium_Set","Floral/Nature, Jewelry/Filigree, Plushie/Fake Companion, Ribbons/Silk","evolved glowshroom rabbit. kind of an ethereal/jeweled sky theme.

not much to explain, really up to you. the only specific things i want are: long teardrop-shaped earrings, and a headpiece/veil (just something adorning the head).

ideas: flowers, glowy butterflies, small wings attached with jewelry, silks",,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,AAA server
11/16/2020 14:46:35,Celiane,1661,No,Yes,I agree.,,"Background, Body Markings/Patterns, Cute/Pastel, Food/Objects, Floral/Nature, Jewelry/Filigree, Plushie/Fake Companion, Ribbons/Silk","Clothing, Hair/Wigs, Spooky/Horror","Metal/Armor, Repose",Elemental stuff such as water and fire.,"Background, Clothing, Cute/Pastel, Food/Objects, Floral/Nature, Hair/Wigs, Plushie/Fake Companion, Repose","Theme: Pastel Goth
Pet species: Any non-limited pet that fits the theme's colours.
Colour scheme: Pastel pinks/purples/blues/teal, off-whites, white, black. 
Description: I want a cute girly pastel goth dress or skirt + top, a wig, and maybe shoes if the pet has humanoid feet. Perhaps incorporate one or two of these things as well; food, plushies or flowers, it's up to the artist to decide. Adding a background and reposing are optional.","Background, Clothing, Cute/Pastel, Food/Objects, Hair/Wigs, Repose","Theme: Harajuku (Japanese fashion)
Pet species: Any non-limited pet that fits the theme's colours.
Colour scheme: Colourful but no neon and no rainbow unless small accents.
Description: I want a cute colourful Harajuku outfit, a wig, a handbag or backpack, and maybe shoes if the pet has humanoid feet. Other stuff that fits the theme can be added, it's up to the artist. Adding a background and reposing are optional.",N/A,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,AAA discord server.
11/16/2020 15:22:45,Amberdash,14449,Yes,No,I agree.,,"Background, Body Markings/Patterns, Clothing, Floral/Nature, Jewelry/Filigree, Metal/Armor, Plushie/Fake Companion, Ribbons/Silk","Cute/Pastel, Food/Objects, Repose","Hair/Wigs, Spooky/Horror","I'm fairly passable at most things, Shiny hair and wigs seem to elude me, I'm still a bit rough with simple extremity reposes and can NOT do head reposes. I'm not really sure what would or wouldn't pass as far as the Spooky/horror section so I opted out of that one. If you need to see examples of my work, you can request a link to my shop. Metal and armor I'm fair with, as far as putting spikes on, I don't always get the angles correct so they can sometimes seem a  bit ""off"".  A few of my pastels I have tried end up, I don't know, too transparent maybe? So I could use a bit more work on that as well. Trying to be as honest as I can on this. LOL Let me know if you need to know anything else. ",Background,For non-evo.[img]https://dappervolk.com/img/pets/0/77-f5CuPZG9NG-armored-ground-dragon.png[/img] is the pet and this is for reference.[img]https://imgur.com/a/9Q7hiHr.png[/img],Repose,non-evo same pet as above [img]https://imgur.com/Wg8Kua2.png[/img],What do we do if we feel we are absolutely incompetent at fulfilling what we are asked to do?,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,"Discord=Amberdash#14449(as an AAA aplicant), Discord=LadyWhiteOwl#5634 FR=LadyWhiteOwl#292197"
11/16/2020 17:03:44,Celty,1848,Yes,No,I agree.,,"Background, Body Markings/Patterns, Floral/Nature, Hair/Wigs, Jewelry/Filigree, Plushie/Fake Companion, Ribbons/Silk, Spooky/Horror","Cute/Pastel, Food/Objects, Metal/Armor",Repose,,"Body Markings/Patterns, Clothing, Floral/Nature, Hair/Wigs, Jewelry/Filigree, Ribbons/Silk","https://i.imgfly.me/XWXx0R.png I would prefer this one on a humanoid pet, but if you can think of any others that would be fine. Color scheme doesn't need to stay like this if you think other colors would work better for the pet. I would like the focus to be on the clothing designs and filigree with maybe some little butterfly wisps or something. It's quite open ended otherwise, I love surprises so....go ham....","Background, Body Markings/Patterns, Clothing, Floral/Nature, Jewelry/Filigree, Metal/Armor, Plushie/Fake Companion, Ribbons/Silk, Spooky/Horror","Fox fire, Asian influenced maybe with little figurines or something, also very open ended, I don't have a solid idea with this one so it's up to you. Maybe something spooky even....
Reference images: https://i.imgfly.me/XWXBfz.png and weapons; https://i.imgfly.me/XWjQiD.png, https://i.imgfly.me/XWXFtS.png, https://i.imgfly.me/XWXzdf.png","I love surprises so I'm quite open minded about things so if there is anything you aren't really sure about if I would like it, but you think would look really good, I would just try or ask an event helper to ask me. :)",I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,AAA server/discord
11/16/2020 18:07:53,Villager,41508,Yes,No,I agree.,Amberdash,"Repose, Spooky/Horror","Background, Body Markings/Patterns, Cute/Pastel, Floral/Nature, Hair/Wigs","Clothing, Food/Objects, Jewelry/Filigree, Metal/Armor, Plushie/Fake Companion, Ribbons/Silk","For Floral/Nature: No wood/branches, trees or shrubs; anything intensely detailed like bark or a bush. Simple flowers, water, clouds, etc. are fine","Clothing, Floral/Nature, Jewelry/Filigree, Metal/Armor, Repose","What I would like to see:
I would like a Thranduil-inspired accessory. He has a sharp, thorny crown upon his head (or his simpler battle crown), elegantly crafted sylvan armor, a regal yet light cape, and a refined, custom-crafted elven blade. No wig or eyebrows are necessary. The artist can leave out the cape and blade too, if they'd like. The big hit points are to have a sylvan-armored pet with the crown. I'd very much like to keep the crown design very similar to Thranduil's, if not the same. Please feel free to repose or add other elements as you see fit!

Reference Images:
Img of his armor: https://images-cdn.9gag.com/photo/adjrWYV_700b.jpg
Img of his battle crown: https://vignette.wikia.nocookie.net/pjmidearthfilms/images/0/0a/THRANDY.jpg
Img of his regular crown: https://vignette.wikia.nocookie.net/lotrfanon/images/8/88/Thranduil.jpg
Img of his blade: https://www.unitedcutlery.com/Images/medres/UC3168.JPG

Thranduil Character Description:
Thranduil is an elven king from The Hobbit and is a cold and serious type with the arrogance and elegance befitting of an elf king. Unlike his flamboyant son Legolas (who likes to show off with stunning acrobatics), Thranduil has had many millennium to hone his skills to utmost efficiency; he wastes no energy on extravagant moves. Thranduil's wife died long ago, and it caused a grief so deep that he shut down the feelings of love and empathy. Overall, he is a methodical, arrogant, and cold-hearted character. That is very difficult to portray, so it is A-OK to skip over adding any expressions or body language / repose.

Pet:
I have no preference for a pet, evo or non-evo. As long as it's an obtainable pet (i.e. not a KS or Beta pet) it's all good. I think perhaps humanoid pets like the Gloomy Imp, Glass Harpy, or Spiral Imp would work well with the idea of an elven character, but I could definitely see animal-esque pets like the Flying Batfox, Bell Fox, or Pointed Grypon working just as well. Please feel free to choose a pet that gives you inspiration!","Body Markings/Patterns, Clothing, Metal/Armor, Spooky/Horror","What I would like to see:
A Shrowd-inspired accessory from the monster hunting game Dauntless. The Shrowd sports a purple/black color palette with sharp, glowing eyes, claw-like features and long, jagged feathers. I was personally imagining something like black, shadow-like armor with feather elements, but feel free to get creative with this dress-up! Wispy background elements, perhaps a shadow... anything.

Reference Images:
Img of the glowing eyes: https://assets.rockpapershotgun.com/images/2019/06/dauntless-shrowd-1212x682.jpg
Img of Shrowd: https://static.wikia.nocookie.net/dauntless_gamepedia_en/images/c/c1/Shrowd_Render_001.png
Img of the craftable armor: https://static.wikia.nocookie.net/dauntless_gamepedia_en/images/b/b2/Shrowd_Armour_Body_Type_B_Render_001.png
Img of concept art: https://i.pinimg.com/originals/da/6e/33/da6e339af1c4ff66b78e59aa354a228f.png

Pet:
Once again nothing solidly chosen out, and evo / non-evo is A-OK. I was thinking perhaps the Gloomy Imp (since it already has glowing eyes), the Rune Rook (for its useful pose), or the Scullion (as it's already naturally black and purple).",,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,AAA server
11/16/2020 18:25:10,Lizzi,3556,Yes,Yes,I agree.,,"Background, Metal/Armor, Repose","Body Markings/Patterns, Clothing, Food/Objects, Floral/Nature, Hair/Wigs, Jewelry/Filigree, Plushie/Fake Companion, Ribbons/Silk",,"I would like to NOT be matched with either a ""clown"" themed prompt or an evo glass harpy (non-evo is okay).

I would love to be matched with an armor prompt! I live for intricate details and love painting shiny surfaces.","Background, Clothing, Floral/Nature, Jewelry/Filigree, Metal/Armor, Repose, Ribbons/Silk","Pet: poison lion (I like both the evo and non-evo, so choose whichever!)

You can choose as many or as few of the tags to apply to this accessory! I like armor designs, and would love some sort of helmet and/or gauntlets for the lion. If armor isn't something you like to do, I also like jewelry, filigree, ribbons, silk, or any sort of clothing that you feel would fit the lion! You can make it color match to the darker tones of the lion's antlers and collar, or you can make it white, or do anything else that you feel best fits the theme of the lion!","Background, Clothing, Food/Objects, Jewelry/Filigree, Metal/Armor","I would love to see a goldfish sealing (no pref on evo vs non-evo) in a royal/kingly outfit! You can model it after the DV red royal set or you can use any sort of regal outfit that you like! I'm pretty flexible about the crown design too, as it definitely doesn't have to match the DV crown.

DV crown + scepter: https://media.discordapp.net/attachments/730586122421403649/778081487269396510/LB804AMkHxbMVnenGrgH7NvyG1Kj6uQAAAAAElFTkSuQmCC.png

DV cape (please don't include the mothlike top, as this was the only image I could find as I do not have the cape itself)
https://cdn.discordapp.com/attachments/730586122421403649/778081588650311690/avatar_17521_1604878638.png",,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,am the owner of the AAA server :anji:
11/16/2020 20:44:36,ambien,37998,No,No,I agree.,,"Body Markings/Patterns, Hair/Wigs, Plushie/Fake Companion, Spooky/Horror","Background, Clothing, Cute/Pastel, Food/Objects, Floral/Nature, Jewelry/Filigree, Ribbons/Silk","Metal/Armor, Repose","I mostly don't want to draw metal/armor and reposes because I'm not very good at them and I wouldn't want to give a subpar gift ;-; but otherwise I should be ok with most stuff. Willing to step outside my comfort zone, especially if I can get feedback from a helper lol","Background, Clothing, Food/Objects","Looking for an accessory for enchantling or bardling, non-evo preferred (but I'm not picky!!). I'd like to have the pet in a little doctor's white coat with a stethoscope. In the background, it would be cool to have little glowing + symbols, like the ones associated with health or HP, but totally cool to not include them!","Clothing, Cute/Pastel, Floral/Nature, Hair/Wigs","Alternate request is for a sunrise celestial - non-evo form preferred. I'm looking for a white/pastel-colored hanbok-style dress with some falling petals/flowers. I'm partial to longer, flowing hair, or hair like kikyo's from inuyasha, but hair edit honestly not required, especially if it's going to add to coverage crimes. I selected ""cute"" but the acc itself does not need to be cute, if that's not the route you'd like to go!",thank you for organizing this!! too cute,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,I'm on the discord!
11/16/2020 22:33:11,Honiydu,2427,Yes,No,I agree.,,"Clothing, Cute/Pastel, Food/Objects, Hair/Wigs, Spooky/Horror","Background, Body Markings/Patterns, Floral/Nature, Plushie/Fake Companion, Ribbons/Silk","Jewelry/Filigree, Metal/Armor",I haven’t done a repose before I’m sure I could do one but it is still something to keep in mind,"Background, Body Markings/Patterns, Clothing, Floral/Nature","An accessory for the evolved turnipling where they have an animal pelt on their back, a quiver full of arrows, and a face scar/marking. Some falling leaves in the background or anything foresty would be nice but optional. ","Cute/Pastel, Food/Objects",A konpeito (Japanese candy) themed accessory for the pine sheep. I have no specifications for this one just have fun with it.,,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,Already in AAA server 
11/17/2020 0:48:18,LittleBlackCat,11181,Yes,No,I agree.,,"Food/Objects, Hair/Wigs, Plushie/Fake Companion, Repose","Clothing, Cute/Pastel, Floral/Nature, Ribbons/Silk, Spooky/Horror","Background, Body Markings/Patterns, Jewelry/Filigree, Metal/Armor",,"Food/Objects, Repose","a lil food hoarder Spiral Imp!! essentially just... fruit everywhere, hugging fruit, fruit in hair, fruit in bottle up to you tbh lmao

as long as fruit is included and the spiral imp clearly doesnt want to let it go, go wild!! ^^

evo version preferred but if its safe for both evo and non evo then that would be great","Food/Objects, Plushie/Fake Companion, Repose","fish loving kelp cat. fish can be plushies, silhouettes or food items

mostly up to interpretation tbh 

fine with non evo/evo but versions for both would be great!! but not necessary ^^ ",nothing particularly ,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,"discord: TheLittleBlackCat (#3454)
flight rising:  (TheOnlyKitten) https://flightrising.com/main.php?p=lair&tab=userpage&id=275035"
11/17/2020 6:27:50,Mintiimermaid ,7634,Yes,No,I agree.,,"Clothing, Cute/Pastel, Hair/Wigs, Plushie/Fake Companion, Repose","Background, Body Markings/Patterns, Floral/Nature, Jewelry/Filigree, Spooky/Horror",,,"Clothing, Cute/Pastel, Plushie/Fake Companion, Repose","I really want a super kawaii accessory for my Enchantling (non-evo) with a cute Pann inspired plushie, and make-up. Just in general it should be giving Lolita/Decora kei vibes!","Food/Objects, Floral/Nature, Jewelry/Filigree, Repose","This would be for my goldfish pet! I just want a redesign for the medallion around her neck, and some water to wrap around her (I’m really bad at designing jewelry, so I can’t do it myself,,) she’s also non-evo!",,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,"You can find me on FR at Mintiimermaid, too!"
11/17/2020 8:10:45,Tired,483,Yes,Yes,I agree.,,"Cute/Pastel, Floral/Nature, Hair/Wigs, Ribbons/Silk","Background, Body Markings/Patterns, Clothing, Food/Objects, Jewelry/Filigree, Plushie/Fake Companion, Repose","Metal/Armor, Spooky/Horror","I'm not picky at what to draw, I just have picked my strong suits vs what I'm weak at. Ideally if someone fits my strong suits, I think I can just overall do a much better job.","Clothing, Jewelry/Filigree, Ribbons/Silk",I'd love my evo spirit of kindness to be suited up in tons of laces and frills with maybe a partial bustle. Rococo style. Muted pastels. As much as the artist is willing to draw frankly because I know this is a lot.,"Floral/Nature, Jewelry/Filigree, Ribbons/Silk","In case my other request is too complex, something for the evolved wizard cat and purple flowers. Maybe some ribbons.",Thanks for holding this event~,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,Lieicent#5712 on Discord
11/17/2020 10:02:49,VALVERA,32710,Yes,No,I agree.,,"Background, Body Markings/Patterns, Clothing, Cute/Pastel, Food/Objects, Jewelry/Filigree, Plushie/Fake Companion, Ribbons/Silk, Spooky/Horror","Metal/Armor, Repose",,"I'm unable to draw like a Professional (sad vibes).
I can draw face expressions (as a bonus if wanted!) ","Background, Body Markings/Patterns, Clothing, Hair/Wigs, Jewelry/Filigree, Plushie/Fake Companion, Repose, Ribbons/Silk, Spooky/Horror","Spiral imp, non-evo, a smirk on the face if possible and looking to the side (at the person behind the screen) hair cast to the side or a Succubus(themed) hair pin, wearing gothic dress dark-purple/black as main colors if clothes are added.","Background, Floral/Nature, Plushie/Fake Companion, Repose","Lantern pixie, non-evo; Happily ''>w<'' expression, hugging a koala plushie against her chest, Hortensia flowers  around her or as a background if possible (or just a vase of it or in decoration ontop  of her lantern)","Good luck to myself and the others/ I have heavy health issues I might get problems to deliver on due date (will contact if that ever happens, for now everything is okey). Also I will certanly need help from helps ;w; migh I have a way of direct contact through discord?",I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,Discord:Valvera#2569 (Just search Valvera and u might find me anywhere x)) ) 
11/17/2020 13:07:03,Valkyrie,278,Yes,Yes,I agree.,,"Body Markings/Patterns, Clothing, Floral/Nature, Hair/Wigs, Ribbons/Silk","Background, Cute/Pastel, Food/Objects, Jewelry/Filigree, Plushie/Fake Companion, Repose",,"Very versatile overall, I can and am willing to do most anything so feel free to give me whoever's prompt","Background, Clothing, Jewelry/Filigree, Ribbons/Silk","Pet: Kelpcat (evo), Onyx Dragonlet (non-evo), or Centauri Seer (evo OR non)

Theme: Chinese outfits(hanfu) or silk. I would like some sort of asian/chinese-inspired cloth with a background element. Maybe some whisps/smoke or flowy silk if you feel comfortable doing it. Expression change is a plus but not required. Lots of artistic freedom here as I don't have any specific vision for it, just have fun and do your best with it!

Vibe: Ethereal/celestial, delicate/refined. If you choose Onyx Dragonlet, I'd also like a bit of a cool vibe to it. Some vibe inspiration, if you need it -- 
https://cdn.discordapp.com/attachments/229303288665735168/778208110987837440/wp5994120.jpg
https://cdn.discordapp.com/attachments/772423888679600139/772429041617469460/Screenshot_20201101-035354_Gallery.jpg

Extra Note: Ideally I have an accessory that I can be used on both the evo and non-evo, but this is not at all necessary and just something that I would love. Feel free to check my menagerie to see the accessories I have applied and get a feel for the kinds of accessories I like!",,"Pet: Any in my menagerie that doesn't have an acc! 
https://dappervolk.com/menagerie/278

Theme: I can't think of one so go nuts with whatever you like

Vibe: Seriously, do what you like! 

Extra Note: Artistic freeeeedommmmm",I love you all ;u;,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,Discord; you know how to contact me LOL
11/17/2020 15:04:24,hui,24934,Yes,No,I agree.,,"Clothing, Cute/Pastel, Floral/Nature, Plushie/Fake Companion, Ribbons/Silk","Food/Objects, Hair/Wigs, Jewelry/Filigree, Metal/Armor",Repose,,"Floral/Nature, Jewelry/Filigree, Ribbons/Silk","Pointed gryphon evo ver. item colorations and any vagueness in description are up to the artist's interpretation c:

- Flower/foliage ornaments with tassels, perhaps on wings, head, tail?
- Chinese knot hanging off ear and/or wings
- Thin, floaty sheer scarf... see the imgur gallery for an example
- A few small flower petals floating around (unless it ends up too crowded)

Images for inspiration: https://imgur.com/a/s94rOvN","Cute/Pastel, Plushie/Fake Companion","Pumpkin pup, any evo form; no specifications on item positioning

- White or yellow Flower crown + flower mantle
- Small Barclary plush with dot eyes in nesoberi pose","Since all accessories will be transferred to one person, should we include the recipient in our accessory name for organizational purposes?",I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,hui#5071 - discord
11/17/2020 16:44:49,Aza,10113,No,No,I agree.,,"Cute/Pastel, Food/Objects, Floral/Nature, Jewelry/Filigree, Plushie/Fake Companion, Ribbons/Silk","Body Markings/Patterns, Hair/Wigs, Repose","Background, Metal/Armor, Spooky/Horror",,"Food/Objects, Floral/Nature",A design inspired by the wild forage snacks (or just like some cute mushrooms) for non-evo spiral imp,"Clothing, Cute/Pastel, Hair/Wigs, Jewelry/Filigree, Ribbons/Silk",A cute pink princess look for a evo lantern pixie (like a princessy dress and lil silver crown),thank you for your hard work!,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,Andingmachine#4184 (discord/AAA server)
